Episode_Number	Date	Question_Number	URI	Keywords/Description	Question	FullText
2	1/26/15	1	http://mikemchargue.com/asksciencemike/2015/1/22/episode-2-pangea-prayer-and-pretending-god-is-real	Rock Paradox	Can God make a rock so big that he couldn't lift it?	Can God make a rock so big that he couldn't lift it?
2	1/26/15	2	http://mikemchargue.com/asksciencemike/2015/1/22/episode-2-pangea-prayer-and-pretending-god-is-real	Prayer and the Brain	What does using our imagination mean? What happens in the brain when we pray?	When we use our imaginations, what does that mean, in terms of cognition? What happens in the brain when we're praying and connecting to God? How do these two things interact? Can that teach us anything about spirituallity?
2	1/26/15	3	http://mikemchargue.com/asksciencemike/2015/1/22/episode-2-pangea-prayer-and-pretending-god-is-real	Pangea	Why is Pangea threatening to American Christians?	Thoughts and insights on Pangea. Why is the concept of Pangea, and other geolocal concepts, so threatening to the evangelical Chrsitians in America?
2	1/26/15	4	http://mikemchargue.com/asksciencemike/2015/1/22/episode-2-pangea-prayer-and-pretending-god-is-real	Doubt and faith, where to begin	I want to believe in something. Where do I start? 	I want to believe in something. Where do I start? 
3	2/2/15	1	http://mikemchargue.com/asksciencemike/2015/1/31/episode-3-the-fastest-car-in-the-universe-what-happens-when-we-die	astest car in the universe	What is the fastest car in the universe?	Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
3	2/2/15	2	http://mikemchargue.com/asksciencemike/2015/1/31/episode-3-the-fastest-car-in-the-universe-what-happens-when-we-die	prayer, answered prayer	Does God answer prayer?	Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. 
3	2/2/15	3	http://mikemchargue.com/asksciencemike/2015/1/31/episode-3-the-fastest-car-in-the-universe-what-happens-when-we-die	Antimatter, black holes, hawking radiation	What are antimatter and black holes?	Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
3	2/2/15	4	http://mikemchargue.com/asksciencemike/2015/1/31/episode-3-the-fastest-car-in-the-universe-what-happens-when-we-die	Death, afterlife	What happens when we die?	Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
4	2/9/15	1	http://mikemchargue.com/asksciencemike/2015/2/8/episode-4-rising-waters-an-expanding-universe-and-an-infinite-number-of-hells	Universe expanding	What is the universe expanding into?	If the universe is expanding, what in or of the universe is actually expanding?
